Year,Probability_SPY_Higher_After_30_Days,SPY_Annual_Perf
1995,0.4,0.3738924305604636
1996,0.5555555555555556,0.21203820328782166
1997,0.5,0.33137153482898163
1998,0.3333333333333333,0.28032825298612846
1999,1.0,0.2066459645958127
2000,0.16666666666666666,-0.08849393675548618
2001,0.3333333333333333,-0.10131583542208829
2002,0.5,-0.22419453056220534
2003,1.0,0.24184223524845894
2004,0.0,0.10747619198921204
2005,0.4,0.053249559529970056
2006,0.0,0.13842867033172598
2007,0.3333333333333333,0.05332159920564018
2008,0.0,-0.36236777503437384
2010,0.0,0.13137342875113625
2011,0.5,0.008524043354273501
2012,0.5,0.14170915997362177
2013,0.7142857142857143,0.2900140824645924
2014,0.42857142857142855,0.14561731469693318
2015,0.5,0.012885145669948713
2016,0.25,0.1358579463605751
2017,0.75,0.2078141283770034
2018,0.2,-0.05247183827308115
2019,0.6,0.31087503417974394
2020,0.3333333333333333,0.17235232999888012
2021,0.5,0.3050544780683106
2022,0.25,-0.18646387356128985
2023,0.0,0.2670920949568952
2024,0.5,0.28916141653661914
