Day,EMA_5,EMA_9,EMA_18,EMA_21,EMA_40,EMA_50,EMA_100
1,0.44,0.44,0.44,0.44,0.45,0.45,0.45
2,0.38,0.39,0.41,0.41,0.42,0.42,0.42
3,0.32,0.35,0.38,0.38,0.4,0.4,0.41
4,0.27,0.32,0.36,0.37,0.39,0.39,0.4
5,0.23,0.28,0.34,0.35,0.37,0.38,0.39
6,0.2,0.24,0.31,0.32,0.35,0.36,0.38
7,0.17,0.21,0.29,0.3,0.34,0.35,0.37
8,0.14,0.18,0.25,0.27,0.31,0.33,0.36
9,0.12,0.16,0.23,0.25,0.3,0.32,0.35
10,0.11,0.14,0.21,0.22,0.28,0.31,0.34
11,0.09,0.13,0.19,0.21,0.27,0.29,0.33
12,0.07,0.11,0.18,0.19,0.26,0.28,0.33
13,0.06,0.11,0.16,0.18,0.24,0.27,0.32
14,0.03,0.09,0.14,0.16,0.23,0.25,0.3
